Distance Mineral Surface
0 99.8418016902413 100.07375
0.5 99.6286766902413 99.860625
1 99.4568016902413 99.68875
1.5 99.2205516902413 99.4525
2 99.0805516902413 99.3125
2.5 98.9080516902413 99.14
3 98.9380516902413 99.17
3.5 98.8905516902413 99.1225
4 98.7849266902413 99.016875
4.5 98.7705516902413 99.0025
5 98.7430516902413 98.975
5.5 98.6918016902413 98.92375
6 98.5530516902413 98.785
6.5 98.5080516902413 98.74
7 98.3899266902413 98.621875
7.5 98.3549266902413 98.586875
8 98.1905516902413 98.4225
8.5 98.0555516902413 98.2875
9 97.9305516902413 98.1625
9.5 97.9468752196531 98.1788235294118
10 98.0224266902413 98.254375
10.5 97.9980516902413 98.23
11 97.9861766902413 98.218125
11.5 97.9105516902413 98.1425
12 97.8280516902413 98.06
12.5 97.7443016902413 97.97625
13 97.6709928667119 97.9029411764706
13.5 97.6380516902413 97.87
14 97.6424266902413 97.874375
14.5 97.5968016902413 97.82875
15 97.5093016902413 97.74125
15.5 97.3980516902413 97.63
16 97.2443016902413 97.47625
16.5 97.0880516902413 97.32
17 96.9455516902413 97.1775
17.5 96.8605516902413 97.0925
18 96.7286766902413 96.960625
18.5 96.5893016902413 96.82125
19 96.4580516902413 96.69
19.5 96.3530516902413 96.585
20 96.2105516902413 96.4425
20.5 96.0655516902413 96.2975
21 95.8924266902413 96.124375
21.5 95.7243016902413 95.95625
22 95.5630516902413 95.795
22.5 95.4380516902413 95.67
23 95.3468016902413 95.57875
23.5 95.2480516902413 95.48
24 95.1711766902413 95.403125
24.5 95.0874266902413 95.319375
25 95.0136766902413 95.245625
25.5 94.9227575725942 95.1547058823529
26 94.7980516902413 95.03
26.5 94.6818016902413 94.91375
27 94.5655516902413 94.7975
27.5 94.4855516902413 94.7175
28 94.3893016902413 94.62125
28.5 94.3168016902413 94.54875
29 94.2468016902413 94.47875
29.5 94.0205516902413 94.2525
30 93.7555516902413 93.9875
30.5 93.6180516902413 93.85
31 93.4455516902413 93.6775
31.5 93.3486766902413 93.580625
32 93.2718016902413 93.50375
32.5 93.2168016902413 93.44875
33 93.1280516902413 93.36
33.5 92.9930516902413 93.225
34 92.8605516902413 93.0925
34.5 92.7499266902413 92.981875
35 92.6399266902413 92.871875
35.5 92.5161766902413 92.748125
36 92.3930516902413 92.625
36.5 92.2905516902413 92.5225
37 92.2145222784766 92.4464705882353
37.5 92.1739340431825 92.4058823529412
38 92.1093016902413 92.34125
38.5 92.0439340431825 92.2758823529412
39 91.9280516902413 92.16
39.5 91.8611766902413 92.093125
40 91.7704046314178 92.0023529411765
40.5 91.6693016902413 91.90125
41 91.5943016902413 91.82625
41.5 91.5268752196531 91.7588235294118
42 91.4355516902413 91.6675
42.5 91.3318016902413 91.56375
43 91.2898163961237 91.5217647058824
43.5 91.2018016902413 91.43375
44 91.1299266902413 91.361875
44.5 91.0198163961237 91.2517647058824
45 90.8880516902413 91.12
45.5 90.7980516902413 91.03
46 90.7049266902413 90.936875
46.5 90.6168752196531 90.8488235294118
47 90.5743016902413 90.80625
47.5 90.4668016902413 90.69875
48 90.3533458078884 90.5852941176471
48.5 90.2680516902413 90.5
49 90.1618016902413 90.39375
49.5 90.0709928667119 90.3029411764706
50 90.0205516902413 90.2525
50.5 89.9880516902413 90.22
51 89.9539340431825 90.1858823529412
51.5 89.8680516902413 90.1
52 89.7721693373001 90.0041176470588
52.5 89.6655516902413 89.8975
53 89.5955516902413 89.8275
53.5 89.5151105137707 89.7470588235294
54 89.4205516902413 89.6525
54.5 89.3605516902413 89.5925
55 89.3580516902413 89.59
55.5 89.3899266902413 89.621875
56 89.3505516902413 89.5825
56.5 89.2692281608295 89.5011764705882
57 89.2580516902413 89.49
57.5 89.2780516902413 89.51
58 89.2480516902413 89.48
58.5 89.1668752196531 89.3988235294118
59 89.1055516902413 89.3375
59.5 89.0405516902413 89.2725
60 89.0880516902413 89.32
60.5 89.0424266902413 89.274375
61 88.9605516902413 89.1925
61.5 88.9251105137707 89.1570588235294
62 88.9080516902413 89.14
62.5 88.9055516902413 89.1375
63 88.9280516902413 89.16
63.5 88.8605516902413 89.0925
64 88.7545222784766 88.9864705882353
64.5 88.7380516902413 88.97
65 88.7155516902413 88.9475
65.5 88.6280516902413 88.86
66 88.6480516902413 88.88
66.5 88.6580516902413 88.89
67 88.6098163961237 88.8417647058824
67.5 88.4855516902413 88.7175
68 88.4055516902413 88.6375
68.5 88.3880516902413 88.62
69 88.3218016902413 88.55375
69.5 88.2586766902413 88.490625
70 88.2680516902413 88.5
70.5 88.2280516902413 88.46
71 88.1974634549472 88.4294117647059
71.5 88.1674266902413 88.399375
72 88.1568752196531 88.3888235294118
72.5 88.1055516902413 88.3375
73 88.0461766902413 88.278125
73.5 87.9809928667119 88.2129411764706
74 87.9055516902413 88.1375
74.5 87.8718016902413 88.10375
75 87.8409928667119 88.0729411764706
75.5 87.8280516902413 88.06
76 87.8036766902413 88.035625
76.5 87.7733458078884 88.0052941176471
77 87.7380516902413 87.97
77.5 87.6968752196531 87.9288235294118
78 87.606286984359 87.8382352941177
78.5 87.5618016902413 87.79375
79 87.5286399255354 87.7605882352941
79.5 87.4880516902413 87.72
80 87.4055516902413 87.6375
80.5 87.3204046314178 87.5523529411765
81 87.3524266902413 87.584375
81.5 87.4555516902413 87.6875
82 87.5256987490648 87.7576470588235
