Dist Surface Mineral Mineral_new BaseActiveLayer
0 100 99.62 99.7673913043478 98.82
0.5 99.81 99.5 99.5773913043478 98.65
1 99.67 99.37 99.4373913043478 98.56
1.5 99.63 99.31 99.3973913043478 98.48
2 99.59 99.25 99.3573913043478 98.39
2.5 99.51 99.19 99.2773913043478 98.31
3 99.45 99.12 99.2173913043478 98.22
3.5 99.41 99.01 99.1773913043478 98.14
4 99.3 98.9 99.0673913043478 98.06
4.5 99.17 98.8 98.9373913043478 97.97
5 99.03 98.69 98.7973913043478 97.85
5.5 98.9 98.59 98.6673913043478 97.72
6 98.79 98.48 98.5573913043478 97.6
6.5 98.7 98.31 98.4673913043478 97.49
7 98.62 98.13 98.3873913043478 97.38
7.5 98.47 98.1 98.2373913043478 97.27
8 98.34 98.06 98.1073913043478 97.16
8.5 98.25 98.02 98.0173913043478 97.05
9 98.22 97.98 97.9873913043478 96.93
9.5 98.23 97.94 97.9973913043478 96.79
10 98.24 97.9 98.0073913043478 96.66
10.5 98.25 97.87 98.0173913043478 96.62
11 98.24 97.83 98.0073913043478 96.92
11.5 98.18 97.79 97.9473913043478 97.21
12 98.09 97.75 97.8573913043478 97.51
12.5 98 97.71 97.7673913043478 97.54
13 97.92 97.67 97.6873913043478 97.52
13.5 97.92 97.64 97.6873913043478 97.5
14 97.88 97.6 97.6473913043478 97.48
14.5 97.8 97.49 97.5673913043478 97.46
15 97.66 97.37 97.4273913043478 97.32
15.5 97.5 97.21 97.2673913043478 97.14
16 97.34 97.05 97.1073913043478 96.96
16.5 97.19 96.94 96.9573913043478 96.81
17 97.06 96.83 96.8273913043478 96.73
17.5 96.94 96.7 96.7073913043478 96.64
18 96.83 96.56 96.5973913043478 96.56
18.5 96.71 96.43 96.4773913043478 96.42
19 96.58 96.29 96.3473913043478 96.28
19.5 96.44 96.17 96.2073913043478 96.14
20 96.3 96.05 96.0673913043478 96
20.5 96.17 95.93 95.9373913043478 95.86
21 96.02 95.8 95.7873913043478 95.76
21.5 95.87 95.71 95.6373913043478 95.65
22 95.79 95.62 95.5573913043478 95.55
22.5 95.7 95.53 95.4673913043478 95.44
23 95.59 95.43 95.3573913043478 95.32
23.5 95.51 95.34 95.2773913043478 95.2
24 95.43 95.25 95.1973913043478 95.09
24.5 95.32 95.16 95.0873913043478 94.97
25 95.21 95.06 94.9773913043478 94.86
25.5 95.11 94.97 94.8773913043478 94.77
26 95 94.88 94.7673913043478 94.68
26.5 94.89 94.79 94.6573913043478 94.6
27 94.76 94.69 94.5273913043478 94.5
27.5 94.66 94.6 94.4273913043478 94.4
28 94.61 94.5 94.3773913043478 94.3
28.5 94.53 94.33 94.2973913043478 94.17
29 94.44 94.15 94.2073913043478 94
29.5 94.18 93.94 93.9473913043478 93.83
30 93.92 93.72 93.6873913043478 93.66
30.5 93.78 93.63 93.5473913043478 93.49
31 93.67 93.54 93.4373913043478 93.34
31.5 93.58 93.44 93.3473913043478 93.21
32 93.5 93.35 93.2673913043478 93.08
32.5 93.41 93.25 93.1773913043478 92.95
33 93.3 93.16 93.0673913043478 92.79
33.5 93.18 93.07 92.9473913043478 92.64
34 93.05 92.97 92.8173913043478 92.48
34.5 92.93 92.88 92.6973913043478 92.4
35 92.81 92.78 92.5773913043478 92.35
35.5 92.69 92.57 92.4573913043478 92.31
36 92.58 92.35 92.3473913043478 92.26
36.5 92.5 92.32 92.2673913043478 92.21
37 92.45 92.28 92.2173913043478 92.14
37.5 92.41 92.21 92.1773913043478 92.05
38 92.32 92.13 92.0873913043478 91.96
