Dist Surface Mineral
0 100.671569561407 100.438960865755
0.5 100.540068242537 100.307459546884
1 100.409190875219 100.176582179567
1.5 100.278937459453 100.046328763801
2 100.14930799524 99.9166992995876
2.5 100.020302482579 99.7876937869266
3 99.8919209214701 99.6593122258179
3.5 99.7641633119136 99.5315546162615
4 99.6370296539095 99.4044209582573
4.5 99.5105199474577 99.2779112518055
5 99.3846341925582 99.152025496906
5.5 99.259372389211 99.0267636935588
6 99.134734537416 98.9021258417639
6.5 99.0107206371734 98.7781119415212
7 98.8873306884831 98.6547219928309
7.5 98.7645646913451 98.5319559956929
8 98.6424226457594 98.4098139501072
8.5 98.5209045517259 98.2882958560738
9 98.4000104092448 98.1674017135926
9.5 98.279740218316 98.0471315226638
10 98.1600939789395 97.9274852832873
10.5 98.0410716911152 97.8084629954631
11 97.9226733548433 97.6900646591912
11.5 97.8048989701237 97.5722902744715
12 97.6877485369564 97.4551398413042
12.5 97.5712220553414 97.3386133596892
13 97.4553195252786 97.2227108296265
13.5 97.3400409467682 97.107432251116
14 97.2253863198101 96.9927776241579
14.5 97.1113556444043 96.8787469487521
15 96.9979489205507 96.7653402248986
15.5 96.8851661482495 96.6525574525973
16 96.7730073275006 96.5403986318484
16.5 96.661472458304 96.4288637626518
17 96.5505615406596 96.3179528450075
17.5 96.4402745745676 96.2076658789154
18 96.3306115600279 96.0980028643757
18.5 96.2215724970405 95.9889638013883
19 96.1131573856053 95.8805486899531
19.5 96.0053662257225 95.7727575300703
20 95.898199017392 95.6655903217398
20.5 95.7916557606137 95.5590470649616
21 95.6857364553878 95.4531277597356
21.5 95.5804411017142 95.347832406062
22 95.4757696995929 95.2431610039407
22.5 95.3717222490238 95.1391135533717
23 95.2682987500071 95.0356900543549
23.5 95.1654992025427 94.9328905068905
24 95.0633236066305 94.8307149109784
24.5 94.9617719622707 94.7291632666185
25 94.8608442694632 94.628235573811
25.5 94.7605405282079 94.5279318325558
26 94.660860738505 94.4282520428528
26.5 94.5618049003544 94.3291962047022
27 94.4633730137561 94.2307643181039
27.5 94.36556507871 94.1329563830578
28 94.2683810952163 94.0357723995641
28.5 94.1718210632749 93.9392123676227
29 94.0758849828857 93.8432762872336
29.5 93.9805728540489 93.7479641583967
30 93.8858846767644 93.6532759811122
30.5 93.7918204510321 93.5592117553799
31 93.6983801768522 93.4657714812
31.5 93.6055638542246 93.3729551585724
32 93.5133714831492 93.2807627874971
32.5 93.4218030636262 93.189194367974
33 93.3308585956555 93.0982499000033
33.5 93.240538079237 93.0079293835849
34 93.1508415143709 92.9182328187187
34.5 93.0617689010571 92.8291602054049
35 92.9733202392955 92.7407115436433
35.5 92.8854955290863 92.6528868334341
36 92.7982947704294 92.5656860747772
36.5 92.7117179633247 92.4791092676725
37 92.6257651077724 92.3931564121202
37.5 92.5404362037723 92.3078275081202
38 92.4557312513246 92.2231225556724
38.5 92.3716502504292 92.139041554777
39 92.288193201086 92.0555845054339
39.5 92.2053601032952 91.972751407643
40 92.1231509570567 91.8905422614045
40.5 92.0415657623704 91.8089570667182
41 91.9606045192365 91.7279958235843
41.5 91.8802672276548 91.6476585320027
42 91.8005538876255 91.5679451919733
42.5 91.7214644991485 91.4888558034963
43 91.6429990622237 91.4103903665715
43.5 91.5651575768513 91.3325488811991
44 91.4879400430311 91.255331347379
44.5 91.4113464607633 91.1787377651111
45 91.3353768300478 91.1027681343956
45.5 91.2600311508845 91.0274224552323
46 91.1853094232736 90.9527007276214
46.5 91.1112116472149 90.8786029515628
47 91.0377378227086 90.8051291270564
47.5 90.9648879497546 90.7322792541024
48 90.8926620283528 90.6600533327006
48.5 90.8210600585034 90.5884513628512
49 90.7500820402062 90.517473344554
49.5 90.6797279734614 90.4471192778092
50 90.6099978582688 90.3773891626167
50.5 90.5408916946286 90.3082829989764
51 90.4724094825407 90.2398007868885
51.5 90.404551222005 90.1719425263528
52 90.3373169130217 90.1047082173695
52.5 90.2707065555906 90.0380978599384
53 90.2047201497119 89.9721114540597
53.5 90.1393576953854 89.9067489997333
54 90.0746191926113 89.8420104969591
54.5 90.0105046413894 89.7778959457373
55 89.9470140417199 89.7144053460677
55.5 89.8841473936026 89.6515386979505
56 89.8219046970377 89.5892960013855
56.5 89.7602859520251 89.5276772563729
57 89.6992911585647 89.4666824629125
57.5 89.6389203166567 89.4063116210045
58 89.5791734263009 89.3465647306487
58.5 89.5200504874975 89.2874417918453
59 89.4615515002463 89.2289428045941
59.5 89.4036764645475 89.1710677688953
60 89.3464253804009 89.1138166847488
60.5 89.2897982478067 89.0571895521545
61 89.2337950667647 89.0011863711126
61.5 89.1784158372751 88.9458071416229
62 89.1236605593377 88.8910518636856
62.5 89.0695292329527 88.8369205373005
63 89.0160218581199 88.7834131624678
63.5 88.9631384348395 88.7305297391873
64 88.9108789631113 88.6782702674592
64.5 88.8592434429355 88.6266347472833
65 88.8082318743119 88.5756231786598
65.5 88.7578442572407 88.5252355615885
66 88.7080805917217 88.4754718960695
66.5 88.6589408777551 88.4263321821029
67 88.6104251153407 88.3778164196885
67.5 88.5625333044787 88.3299246088265
68 88.5152654451689 88.2826567495167
68.5 88.4686215374115 88.2360128417593
69 88.4226015812063 88.1899928855541
69.5 88.3772055765535 88.1445968809013
70 88.3324335234529 88.0998248278007
70.5 88.2882854219046 88.0556767262525
71 88.2447612719087 88.0121525762565
71.5 88.201861073465 87.9692523778129
72 88.1595848265737 87.9269761309215
72.5 88.1179325312346 87.8853238355825
73 88.0769041874479 87.8442954917957
73.5 88.0364997952134 87.8038910995612
74 87.9967193545313 87.7641106588791
74.5 87.9575628654014 87.7249541697492
75 87.9190303278239 87.6864216321717
75.5 87.8811217417986 87.6485130461464
76 87.8438371073256 87.6112284116735
76.5 87.807176424405 87.5745677287528
77 87.7711396930366 87.5385309973845
77.5 87.7357269132206 87.5031182175684
78 87.7009380849568 87.4683293893046
78.5 87.6667732082454 87.4341645125932
79 87.6332322830862 87.400623587434
79.5 87.6003153094793 87.3677066138272
80 87.5680222874248 87.3354135917726
