Dist Surface Mineral
0 100 99.7673913043478
0.5 99.92205 99.6894413043478
1 99.8441 99.6114913043478
1.5 99.76615 99.5335413043478
2 99.6882 99.4555913043478
2.5 99.61025 99.3776413043478
3 99.5323 99.2996913043478
3.5 99.45435 99.2217413043478
4 99.3764 99.1437913043478
4.5 99.29845 99.0658413043478
5 99.2205 98.9878913043478
5.5 99.14255 98.9099413043478
6 99.0646 98.8319913043478
6.5 98.98665 98.7540413043478
7 98.9087 98.6760913043478
7.5 98.83075 98.5981413043478
8 98.7528 98.5201913043478
8.5 98.67485 98.4422413043478
9 98.5969 98.3642913043478
9.5 98.51895 98.2863413043478
10 98.441 98.2083913043478
10.5 98.36305 98.1304413043478
11 98.2851 98.0524913043478
11.5 98.20715 97.9745413043478
12 98.1292 97.8965913043478
12.5 98.05125 97.8186413043478
13 97.9733 97.7406913043478
13.5 97.89535 97.6627413043478
14 97.8174 97.5847913043478
14.5 97.73945 97.5068413043478
15 97.6615 97.4288913043478
15.5 97.58355 97.3509413043478
16 97.5056 97.2729913043478
16.5 97.42765 97.1950413043478
17 97.3497 97.1170913043478
17.5 97.27175 97.0391413043478
18 97.1938 96.9611913043478
18.5 97.11585 96.8832413043478
19 97.0379 96.8052913043478
19.5 96.95995 96.7273413043478
20 96.882 96.6493913043478
20.5 96.80405 96.5714413043478
21 96.7261 96.4934913043478
21.5 96.64815 96.4155413043478
22 96.5702 96.3375913043478
22.5 96.49225 96.2596413043478
23 96.4143 96.1816913043478
23.5 96.33635 96.1037413043478
24 96.2584 96.0257913043478
24.5 96.18045 95.9478413043478
25 96.1025 95.8698913043478
25.5 96.02455 95.7919413043478
26 95.9466 95.7139913043478
26.5 95.86865 95.6360413043478
27 95.7907 95.5580913043478
27.5 95.71275 95.4801413043478
28 95.6348 95.4021913043478
28.5 95.55685 95.3242413043478
29 95.4789 95.2462913043478
29.5 95.40095 95.1683413043478
30 95.323 95.0903913043478
30.5 95.24505 95.0124413043478
31 95.1671 94.9344913043478
31.5 95.08915 94.8565413043478
32 95.0112 94.7785913043478
32.5 94.93325 94.7006413043478
33 94.8553 94.6226913043478
33.5 94.77735 94.5447413043478
34 94.6994 94.4667913043478
34.5 94.62145 94.3888413043478
35 94.5435 94.3108913043478
35.5 94.46555 94.2329413043478
36 94.3876 94.1549913043478
36.5 94.30965 94.0770413043478
37 94.2317 93.9990913043478
37.5 94.15375 93.9211413043478
38 94.0758 93.8431913043478
38.5 93.99785 93.7652413043478
39 93.9199 93.6872913043478
39.5 93.84195 93.6093413043478
40 93.764 93.5313913043478
40.5 93.68605 93.4534413043478
41 93.6081 93.3754913043478
41.5 93.53015 93.2975413043478
42 93.4522 93.2195913043478
42.5 93.37425 93.1416413043478
43 93.2963 93.0636913043478
43.5 93.21835 92.9857413043478
44 93.1404 92.9077913043478
44.5 93.06245 92.8298413043478
45 92.9845 92.7518913043478
45.5 92.90655 92.6739413043478
46 92.8286 92.5959913043478
46.5 92.75065 92.5180413043478
47 92.6727 92.4400913043478
47.5 92.59475 92.3621413043478
48 92.5168 92.2841913043478
48.5 92.43885 92.2062413043478
49 92.3609 92.1282913043478
49.5 92.28295 92.0503413043478
50 92.205 91.9723913043478
50.5 92.12705 91.8944413043478
51 92.0491 91.8164913043478
51.5 91.97115 91.7385413043478
52 91.8932 91.6605913043478
52.5 91.81525 91.5826413043478
53 91.7373 91.5046913043478
53.5 91.65935 91.4267413043478
54 91.5814 91.3487913043478
54.5 91.50345 91.2708413043478
55 91.4255 91.1928913043478
55.5 91.34755 91.1149413043478
56 91.2696 91.0369913043478
56.5 91.19165 90.9590413043478
57 91.1137 90.8810913043478
57.5 91.03575 90.8031413043478
58 90.9578 90.7251913043478
58.5 90.87985 90.6472413043478
59 90.8019 90.5692913043478
59.5 90.72395 90.4913413043478
60 90.646 90.4133913043478
60.5 90.56805 90.3354413043478
61 90.4901 90.2574913043478
61.5 90.41215 90.1795413043478
62 90.3342 90.1015913043478
62.5 90.25625 90.0236413043478
63 90.1783 89.9456913043478
63.5 90.10035 89.8677413043478
64 90.0224 89.7897913043478
64.5 89.94445 89.7118413043478
65 89.8665 89.6338913043478
65.5 89.78855 89.5559413043478
66 89.7106 89.4779913043478
66.5 89.63265 89.4000413043478
67 89.5547 89.3220913043478
67.5 89.47675 89.2441413043478
68 89.3988 89.1661913043478
68.5 89.32085 89.0882413043478
69 89.2429 89.0102913043478
69.5 89.16495 88.9323413043478
70 89.087 88.8543913043478
70.5 89.00905 88.7764413043478
71 88.9311 88.6984913043478
71.5 88.85315 88.6205413043478
72 88.7752 88.5425913043478
72.5 88.69725 88.4646413043478
73 88.6193 88.3866913043478
73.5 88.54135 88.3087413043478
74 88.4634 88.2307913043478
74.5 88.38545 88.1528413043478
75 88.3075 88.0748913043478
75.5 88.22955 87.9969413043478
76 88.1516 87.9189913043478
76.5 88.07365 87.8410413043478
77 87.9957 87.7630913043478
77.5 87.91775 87.6851413043478
78 87.8398 87.6071913043478
78.5 87.76185 87.5292413043478
79 87.6839 87.4512913043478
79.5 87.60595 87.3733413043478
80 87.528 87.2953913043478
