Datetime Air_Temperature_Tele Relative_humidity_Tele Precipitation_Tele Air_Temperature_Blasedal Relative_humidity_Blasedal WindSpeed_Blasedal Shortwaveradiation_Osterlien Prec_lqd Prec_sld
"19-Jul-2013 00:00:00" 278.94 0.87 0 280.16 0.81 2.05 356.32 0 0
"20-Jul-2013 00:00:00" 282.37 0.75 0 283.36 0.67 2.32 380.77 0 0
"21-Jul-2013 00:00:00" 283.16 0.74 0 284.14 0.6 2.18 380.25 0 0
"22-Jul-2013 00:00:00" 284.13 0.7 0 285.15 0.54 2.4 384.41 0 0
"23-Jul-2013 00:00:00" 283.65 0.71 0 284.56 0.56 2.83 386.14 0 0
"24-Jul-2013 00:00:00" 280.98 0.88 0 281.23 0.8 2.68 372.24 1.85185185185185e-08 0
"25-Jul-2013 00:00:00" 281.14 0.9 0 281.38 0.87 3.73 360.25 1.50462962962963e-08 0
"26-Jul-2013 00:00:00" 281.37 0.97 0 282.31 0.93 2.19 364.81 3.35648148148148e-08 0
"27-Jul-2013 00:00:00" 279.82 0.98 0 279.66 0.99 2.53 359.71 9.25925925925926e-09 0
"28-Jul-2013 00:00:00" 280.12 0.99 0 279.72 1 3.6 358.5 6.01851851851852e-08 0
"29-Jul-2013 00:00:00" 279.85 0.99 0 279.48 0.99 2.26 356.44 4.74537037037037e-08 0
"30-Jul-2013 00:00:00" 282.19 0.86 0 283.64 0.78 5.13 371.01 0 0
"31-Jul-2013 00:00:00" 282.54 0.83 0 283.41 0.79 4.6 366.76 1.09953703703704e-07 0
"01-Aug-2013 00:00:00" 279.88 0.98 0 279.82 0.98 2.53 353.61 1.64351851851852e-07 0
"02-Aug-2013 00:00:00" 281.75 0.92 0 283.51 0.87 1.86 375.34 0 0
"03-Aug-2013 00:00:00" 280.95 0.94 0 282.76 0.89 1.8 373.58 0 0
"04-Aug-2013 00:00:00" 282.28 0.86 0 283.39 0.78 2.06 375.6 0 0
"05-Aug-2013 00:00:00" 282.46 0.86 0 282.51 0.83 1.98 379.77 0 0
"06-Aug-2013 00:00:00" 279.87 0.93 0 279.18 0.97 2.15 353.41 0 0
"07-Aug-2013 00:00:00" 280.75 0.81 0 280.5 0.81 1.92 369.69 0 0
"08-Aug-2013 00:00:00" 281 0.66 0 281.1 0.58 4.13 363.86 0 0
"09-Aug-2013 00:00:00" 280.13 0.86 0 280.13 0.84 2 362.55 9.25925925925926e-09 0
"10-Aug-2013 00:00:00" 280.59 0.9 0 281.06 0.83 1.67 365.43 2.08333333333333e-08 0
"11-Aug-2013 00:00:00" 282.7 0.65 0 282.84 0.57 2.71 367.9 0 0
"12-Aug-2013 00:00:00" 282.7 0.65 0 283.99 0.48 2.03 371.19 0 0
"13-Aug-2013 00:00:00" 280.19 0.83 0 279.54 0.82 2.29 361.08 0 0
"14-Aug-2013 00:00:00" 280.1 0.85 0 278.45 0.92 2 357.03 0 0
"15-Aug-2013 00:00:00" 279.26 0.74 0 277.58 0.81 3.44 342.11 2.31481481481481e-09 0
"16-Aug-2013 00:00:00" 278.27 0.84 0 276.94 0.88 4.38 338.8 2.1412037037037e-07 0
"17-Aug-2013 00:00:00" 278.1 0.75 0 276.97 0.79 6.47 339.4 4.62962962962963e-09 0
"18-Aug-2013 00:00:00" 278.44 0.65 0 276.48 0.75 3.12 343.88 1.15740740740741e-09 0
"19-Aug-2013 00:00:00" 277.21 0.72 0 275.07 0.83 2.81 334.06 4.62962962962963e-09 0
"20-Aug-2013 00:00:00" 277.41 0.71 0 275.33 0.8 3.2 342.77 0 0
"21-Aug-2013 00:00:00" 277.16 0.69 0 275.74 0.74 3.85 339.14 0 0
"22-Aug-2013 00:00:00" 278.97 0.58 0 278.35 0.54 3.7 346.28 0 0
"23-Aug-2013 00:00:00" 279.41 0.65 0 277.95 0.62 2.71 349.11 0 0
"24-Aug-2013 00:00:00" 278.71 0.76 0 277.79 0.73 2.56 344.01 0 0
"25-Aug-2013 00:00:00" 279.03 0.81 0 277.97 0.85 3.25 343.33 2.66203703703704e-08 0
"26-Aug-2013 00:00:00" 278.47 0.79 0 277.23 0.81 3.78 344.64 1.38888888888889e-08 0
"27-Aug-2013 00:00:00" 278.63 0.66 0 277.5 0.66 3.27 343.57 8.10185185185185e-09 0
"28-Aug-2013 00:00:00" 277.62 0.72 0 276 0.79 3.53 341.74 0 0
"29-Aug-2013 00:00:00" 277.75 0.75 0 276.55 0.78 4.75 335.98 0 0
"30-Aug-2013 00:00:00" 278.35 0.74 0 277.54 0.73 5.3 341.99 1.15740740740741e-09 0
"31-Aug-2013 00:00:00" 279.44 0.71 0 278.77 0.71 5.38 347.49 2.19907407407407e-08 0
"01-Sep-2013 00:00:00" 278.09 0.7 0 277.11 0.69 3.88 339.49 1.15740740740741e-09 0
"02-Sep-2013 00:00:00" 277.51 0.82 0 276.25 0.85 3.29 341.3 2.31481481481481e-09 0
"03-Sep-2013 00:00:00" 276.09 0.89 0 274.67 0.94 5.39 327.14 1.44675925925926e-07 0
