Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld
"01-Jan-2000 00:00:00" 251.66 0.64 4.08 0.53 0 0 5.31465155839339e-09
"02-Jan-2000 00:00:00" 251.54 0.64 4.08 0.78 0 0 5.31465155839339e-09
"03-Jan-2000 00:00:00" 251.42 0.64 4.08 1.07 0 0 5.31465155839339e-09
"04-Jan-2000 00:00:00" 251.31 0.64 4.08 1.4 0 0 5.31465155839339e-09
"05-Jan-2000 00:00:00" 251.2 0.64 4.08 1.79 0 0 5.31465155839339e-09
"06-Jan-2000 00:00:00" 251.1 0.64 4.08 2.21 0 0 5.31465155839339e-09
"07-Jan-2000 00:00:00" 251 0.64 4.08 2.69 0 0 5.31465155839339e-09
"08-Jan-2000 00:00:00" 250.91 0.64 4.08 3.2 0 0 5.31465155839339e-09
"09-Jan-2000 00:00:00" 250.82 0.63 4.08 3.77 0 0 5.31465155839339e-09
"10-Jan-2000 00:00:00" 250.74 0.63 4.08 4.37 0 0 5.31465155839339e-09
"11-Jan-2000 00:00:00" 250.66 0.63 4.08 5.03 0 0 5.31465155839339e-09
"12-Jan-2000 00:00:00" 250.59 0.63 4.08 5.72 0 0 5.31465155839339e-09
"13-Jan-2000 00:00:00" 250.52 0.63 4.08 6.47 0 0 5.31465155839339e-09
"14-Jan-2000 00:00:00" 250.46 0.63 4.08 7.25 0 0 5.31465155839339e-09
"15-Jan-2000 00:00:00" 250.4 0.63 4.08 8.08 0 0 5.31465155839339e-09
"16-Jan-2000 00:00:00" 250.35 0.63 4.08 8.96 0 0 5.31465155839339e-09
"17-Jan-2000 00:00:00" 250.31 0.63 4.08 9.87 0 0 5.31465155839339e-09
"18-Jan-2000 00:00:00" 250.26 0.63 4.08 10.83 0 0 5.31465155839339e-09
"19-Jan-2000 00:00:00" 250.23 0.63 4.08 11.83 0 0 5.31465155839339e-09
"20-Jan-2000 00:00:00" 250.2 0.62 4.08 12.88 0 0 5.31465155839339e-09
"21-Jan-2000 00:00:00" 250.17 0.62 4.08 13.97 0 0 5.31465155839339e-09
"22-Jan-2000 00:00:00" 250.15 0.62 4.08 15.1 0 0 5.31465155839339e-09
"23-Jan-2000 00:00:00" 250.14 0.62 4.08 16.27 0 0 5.31465155839339e-09
"24-Jan-2000 00:00:00" 250.13 0.62 4.08 17.48 0 0 5.31465155839339e-09
"25-Jan-2000 00:00:00" 250.13 0.62 4.08 18.73 0 0 5.31465155839339e-09
"26-Jan-2000 00:00:00" 250.13 0.62 4.08 20.03 0 0 5.31465155839339e-09
"27-Jan-2000 00:00:00" 250.13 0.62 4.08 21.36 0 0 5.31465155839339e-09
"28-Jan-2000 00:00:00" 250.15 0.62 4.08 22.73 0 0 5.31465155839339e-09
"29-Jan-2000 00:00:00" 250.16 0.62 4.08 24.15 0 0 5.31465155839339e-09
"30-Jan-2000 00:00:00" 250.19 0.62 4.08 25.6 0 0 5.31465155839339e-09
"31-Jan-2000 00:00:00" 250.21 0.62 4.08 27.09 0 0 5.31465155839339e-09
"01-Feb-2000 00:00:00" 250.25 0.62 4.08 28.62 0 0 5.31465155839339e-09
"02-Feb-2000 00:00:00" 250.29 0.62 4.08 30.18 0 0 5.31465155839339e-09
"03-Feb-2000 00:00:00" 250.33 0.62 4.08 31.79 0 0 5.31465155839339e-09
"04-Feb-2000 00:00:00" 250.38 0.62 4.08 33.43 0 0 5.31465155839339e-09
"05-Feb-2000 00:00:00" 250.43 0.62 4.08 35.1 0 0 5.31465155839339e-09
"06-Feb-2000 00:00:00" 250.49 0.62 4.08 36.81 0 0 5.31465155839339e-09
"07-Feb-2000 00:00:00" 250.56 0.62 4.08 38.56 0 0 5.31465155839339e-09
"08-Feb-2000 00:00:00" 250.63 0.62 4.08 40.34 0 0 5.31465155839339e-09
"09-Feb-2000 00:00:00" 250.7 0.61 4.08 42.16 0 0 5.31465155839339e-09
"10-Feb-2000 00:00:00" 250.78 0.61 4.08 44 0 0 5.31465155839339e-09
"11-Feb-2000 00:00:00" 250.87 0.61 4.08 45.89 0 0 5.31465155839339e-09
"12-Feb-2000 00:00:00" 250.96 0.61 4.08 47.8 0 0 5.31465155839339e-09
"13-Feb-2000 00:00:00" 251.05 0.61 4.08 49.75 0 0 5.31465155839339e-09
